,User ID,Date,Date Week,Year Week,Month,Day,Hour,Question ID,Bundle ID,Q Cat.,User answer,Correct answer,Result,Answer duration,Class
8016073,U284560,2019-11-03,2019-11 W43,2019 W43,11,3,15,17699,b11789,3,1,1,Correct,0.15555,Class #12
8434062,U322108,2018-12-26,2018-12 W52,2018 W52,12,26,12,271,b271,2,3,3,Correct,0.2833333333333333,Class #13
4277101,U7459,2019-09-02,2019-09 W35,2019 W35,9,2,9,1544,b1448,3,3,3,Correct,0.3333333333333333,Class #7
860525,U1145,2019-08-26,2019-08 W34,2019 W34,8,26,12,594,b594,2,2,1,Incorrect,0.6666666666666666,Class #2
11158909,U543356,2019-10-24,2019-10 W42,2019 W42,10,24,16,1358,b1358,2,2,2,Correct,0.3166666666666666,Class #17
4295503,U7491,2019-10-25,2019-10 W42,2019 W42,10,25,12,9084,b6435,5,4,4,Correct,0.2833333333333333,Class #7
12672271,U758351,2019-10-03,2019-10 W39,2019 W39,10,3,7,6071,b4603,5,1,2,Incorrect,0.4833333333333333,Class #19
3726898,U6310,2019-11-25,2019-11 W47,2019 W47,11,25,0,6589,b5094,6,3,3,Correct,0.7708333333333334,Class #6
675296,U868,2019-07-25,2019-07 W29,2019 W29,7,25,8,8107,b5578,1,2,2,Correct,0.3166666666666666,Class #1
12791122,U758895,2019-10-17,2019-10 W41,2019 W41,10,17,18,11879,b8553,6,4,4,Correct,0.425,Class #19
2099772,U2941,2019-10-16,2019-10 W41,2019 W41,10,16,17,7877,b5472,7,1,3,Incorrect,0.8933333333333333,Class #4
11286353,U561975,2019-05-14,2019-05 W19,2019 W19,5,14,5,7712,b5425,7,3,4,Incorrect,0.525,Class #17
10344224,U470642,2019-03-14,2019-03 W10,2019 W10,3,14,11,6581,b5092,6,3,3,Correct,0.4875,Class #16
11754919,U622705,2019-06-24,2019-06 W25,2019 W25,6,24,12,2983,b1928,4,1,1,Correct,0.3833333333333333,Class #18
1106866,U1363,2019-11-13,2019-11 W45,2019 W45,11,13,23,9928,b7279,5,4,4,Correct,0.2166666666666666,Class #2
4989709,U9043,2019-08-22,2019-08 W33,2019 W33,8,22,5,7379,b5333,7,4,4,Correct,1.106666666666667,Class #8
8474620,U326511,2019-02-28,2019-02 W08,2019 W08,2,28,14,4526,b3058,5,1,4,Incorrect,0.0666666666666666,Class #13
10167579,U450977,2019-03-13,2019-03 W10,2019 W10,3,13,7,1732,b1511,3,3,2,Incorrect,0.45,Class #15
10034469,U438162,2019-03-12,2019-03 W10,2019 W10,3,12,16,8955,b6306,5,2,2,Correct,0.1833333333333332,Class #15
12203156,U683930,2019-10-08,2019-10 W40,2019 W40,10,8,3,5218,b3750,5,1,1,Correct,0.1833333333333332,Class #18
6784108,U16646,2019-08-23,2019-08 W33,2019 W33,8,23,21,9779,b7130,5,1,1,Correct,0.1666666666666666,Class #10
8658167,U338970,2019-04-14,2019-04 W14,2019 W14,4,14,9,4985,b3517,5,3,2,Incorrect,0.2166666666666666,Class #13
1581945,U1977,2019-05-03,2019-05 W17,2019 W17,5,3,16,11225,b8278,1,1,1,Correct,0.45,Class #3
6437484,U14343,2019-10-12,2019-10 W40,2019 W40,10,12,9,17066,b11303,5,1,1,Correct,0.1666666666666666,Class #10
4310344,U7501,2019-11-02,2019-11 W43,2019 W43,11,2,20,5070,b3602,5,4,4,Correct,0.0666666666666666,Class #7
9036024,U367821,2018-12-18,2018-12 W51,2018 W51,12,18,10,10718,b7943,6,4,4,Correct,0.5333333333333333,Class #14
